kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 76 : 65792 435200 0 0 0 0 0 0 0 
_1.ptx 77 : 65792 432672 0 0 0 0 0 0 0 
_1.ptx 78 : 65792 436864 0 0 0 0 0 0 0 
_1.ptx 79 : 65792 436160 0 0 0 0 0 0 0 
_1.ptx 80 : 65792 439872 0 0 0 0 0 0 0 
_1.ptx 82 : 65792 442976 0 0 0 0 0 0 0 
_1.ptx 83 : 65792 1220224 0 0 0 0 0 0 0 
_1.ptx 84 : 65792 437184 0 0 0 0 0 0 0 
_1.ptx 85 : 65792 522816 0 0 0 0 0 0 0 
_1.ptx 86 : 65792 1369216 0 0 0 0 0 0 0 
_1.ptx 87 : 65792 760448 0 0 0 0 0 0 0 
_1.ptx 88 : 65792 780640 0 0 0 0 0 0 0 
_1.ptx 89 : 65792 562368 0 0 0 0 0 0 0 
_1.ptx 90 : 65792 1218144 0 0 0 0 0 0 0 
_1.ptx 91 : 65792 4196096 256 0 0 0 0 0 0 
_1.ptx 92 : 65792 745536 0 0 0 0 0 0 0 
_1.ptx 93 : 65792 19661888 263168 0 0 2056 2056 0 0 
_1.ptx 94 : 65792 1204736 0 4112 2056 0 0 0 0 
_1.ptx 96 : 65792 410880 0 0 0 0 0 0 0 
_1.ptx 97 : 65792 733120 0 0 0 0 0 0 0 
_1.ptx 98 : 65792 2527456 1024 0 0 0 0 0 0 
_1.ptx 99 : 65792 731104 0 0 0 0 0 0 0 
_1.ptx 100 : 65792 1430208 0 4112 2056 0 0 0 0 
_1.ptx 102 : 65792 409472 0 0 0 0 0 0 0 
_1.ptx 103 : 65792 733952 0 0 0 0 0 0 0 
_1.ptx 104 : 65792 2752352 1024 0 0 0 0 0 0 
_1.ptx 105 : 65792 729920 0 0 0 0 0 0 0 
_1.ptx 106 : 65792 1083360 0 4112 2056 0 0 0 0 
_1.ptx 108 : 65792 405440 0 0 0 0 0 0 0 
_1.ptx 109 : 65792 731392 0 0 0 0 0 0 0 
_1.ptx 110 : 65792 2814496 1024 0 0 0 0 0 0 
_1.ptx 111 : 65792 729440 0 0 0 0 0 0 0 
_1.ptx 112 : 65792 1162976 0 4112 2056 0 0 0 0 
_1.ptx 114 : 65792 407616 0 0 0 0 0 0 0 
_1.ptx 115 : 65792 733472 0 0 0 0 0 0 0 
_1.ptx 116 : 65792 3466432 1024 0 0 0 0 0 0 
_1.ptx 117 : 65792 732448 0 0 0 0 0 0 0 
_1.ptx 118 : 65792 806848 0 4112 2056 0 0 0 0 
_1.ptx 120 : 65792 409920 0 0 0 0 0 0 0 
_1.ptx 121 : 65792 433728 0 0 0 0 0 0 0 
_1.ptx 123 : 65792 496512 0 0 0 0 0 0 0 
_1.ptx 124 : 65792 504192 0 0 0 0 0 0 0 
_1.ptx 125 : 65792 456768 0 0 0 0 0 0 0 
_1.ptx 126 : 65792 508544 0 0 0 0 0 0 0 
_1.ptx 127 : 65792 459200 0 0 0 0 0 0 0 
_1.ptx 128 : 65792 515296 0 0 0 0 0 0 0 
_1.ptx 129 : 65792 462560 0 0 0 0 0 0 0 
_1.ptx 130 : 65792 511520 0 0 0 0 0 0 0 
_1.ptx 131 : 65792 2393472 256 0 0 0 0 0 0 
_1.ptx 132 : 65792 520832 0 0 0 0 0 0 0 
_1.ptx 134 : 65792 771552 0 0 0 0 0 0 0 
_1.ptx 135 : 65792 791552 0 4112 2056 0 0 0 0 
_1.ptx 136 : 65792 557408 0 0 0 0 0 0 0 
_1.ptx 137 : 65792 531808 0 4112 2056 0 0 0 0 
_1.ptx 139 : 65792 435584 0 0 0 0 0 0 0 
_1.ptx 141 : 65792 520896 0 0 0 0 0 0 0 
_1.ptx 142 : 65792 1181152 0 0 0 0 0 0 0 
_1.ptx 143 : 65792 1293920 0 0 0 0 0 0 0 
_1.ptx 144 : 65792 533120 0 0 0 0 0 0 0 
_1.ptx 145 : 65792 480832 0 0 0 0 0 0 0 
_1.ptx 146 : 65792 760192 0 0 0 0 0 0 0 
_1.ptx 147 : 65792 2624800 256 0 0 0 0 0 0 
_1.ptx 148 : 65792 769920 0 0 0 0 0 0 0 
_1.ptx 149 : 65792 555904 0 0 0 0 0 0 0 
_1.ptx 150 : 65792 1329984 0 0 0 0 0 0 0 
_1.ptx 151 : 65792 749632 0 0 0 0 0 0 0 
_1.ptx 152 : 65792 881408 0 4112 2056 0 0 0 0 
_1.ptx 153 : 65792 523840 0 0 0 0 0 0 0 
_1.ptx 154 : 65792 1286080 0 0 0 0 0 0 0 
_1.ptx 155 : 65792 742624 0 0 0 0 0 0 0 
_1.ptx 156 : 65792 1624032 0 15509 2056 0 0 0 0 
_1.ptx 158 : 65792 967136 0 0 0 0 0 0 0 
_1.ptx 159 : 65792 733312 0 0 0 0 0 0 0 
_1.ptx 160 : 65792 487744 0 0 0 0 0 0 0 
_1.ptx 161 : 65792 783264 0 0 0 0 0 0 0 
_1.ptx 162 : 65792 732736 0 0 0 0 0 0 0 
_1.ptx 163 : 65792 1041056 0 4112 2056 0 0 0 0 
_1.ptx 164 : 65792 494944 0 0 0 0 0 0 0 
_1.ptx 165 : 65792 848384 0 0 0 0 0 0 0 
_1.ptx 166 : 65792 736960 0 0 0 0 0 0 0 
_1.ptx 167 : 65792 1574112 0 13310 2056 0 0 0 0 
_1.ptx 169 : 65792 880736 0 0 0 0 0 0 0 
_1.ptx 170 : 65792 734464 0 0 0 0 0 0 0 
_1.ptx 171 : 65792 489440 0 0 0 0 0 0 0 
_1.ptx 172 : 65792 811008 0 0 0 0 0 0 0 
_1.ptx 173 : 65792 735744 0 0 0 0 0 0 0 
_1.ptx 174 : 65792 1011488 0 4112 2056 0 0 0 0 
_1.ptx 175 : 65792 500640 0 0 0 0 0 0 0 
_1.ptx 176 : 65792 835840 0 0 0 0 0 0 0 
_1.ptx 177 : 65792 741120 0 0 0 0 0 0 0 
_1.ptx 178 : 65792 1502464 0 13714 2056 0 0 0 0 
_1.ptx 180 : 65792 916480 0 0 0 0 0 0 0 
_1.ptx 181 : 65792 735808 0 0 0 0 0 0 0 
_1.ptx 182 : 65792 479840 0 0 0 0 0 0 0 
_1.ptx 183 : 65792 728512 0 0 0 0 0 0 0 
_1.ptx 184 : 65792 733120 0 0 0 0 0 0 0 
_1.ptx 185 : 65792 1011360 0 4112 2056 0 0 0 0 
_1.ptx 186 : 65792 485248 0 0 0 0 0 0 0 
_1.ptx 187 : 65792 776256 0 0 0 0 0 0 0 
_1.ptx 188 : 65792 736000 0 0 0 0 0 0 0 
_1.ptx 189 : 65792 1657088 0 13544 2056 0 0 0 0 
_1.ptx 191 : 65792 676928 0 0 0 0 0 0 0 
_1.ptx 192 : 65792 480416 0 0 0 0 0 0 0 
_1.ptx 193 : 65792 420416 0 0 0 0 0 0 0 
_1.ptx 194 : 65792 479488 0 0 0 0 0 0 0 
_1.ptx 195 : 65792 414432 0 0 0 0 0 0 0 
_1.ptx 196 : 65792 481408 0 0 0 0 0 0 0 
_1.ptx 197 : 65792 415296 0 0 0 0 0 0 0 
_1.ptx 198 : 65792 480384 0 0 0 0 0 0 0 
_1.ptx 199 : 65792 937600 0 0 0 0 0 0 0 
_1.ptx 200 : 65792 487424 0 0 0 0 0 0 0 
_1.ptx 202 : 65792 546944 0 0 0 0 0 0 0 
