kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 67843 5471408 0 0 0 0 0 0 0 
_1.ptx 98 : 67843 483946 0 0 0 0 0 0 0 
_1.ptx 99 : 67843 716138 0 0 0 0 0 0 0 
_1.ptx 100 : 67843 749985 0 0 0 0 0 0 0 
_1.ptx 104 : 409219 196530051 4730880 0 0 205115 58749 0 0 
_1.ptx 105 : 409219 2876126 0 0 0 0 0 0 0 
_1.ptx 106 : 409219 4509777 0 0 0 0 0 0 0 
_1.ptx 107 : 409219 217439849 492288 0 0 407886 58749 0 0 
_1.ptx 108 : 409219 2468863 0 0 0 0 0 0 0 
_1.ptx 109 : 409219 3283206 0 0 0 0 0 0 0 
_1.ptx 110 : 409219 1450213 0 0 0 0 0 0 26888 
_1.ptx 112 : 168070 12559603 0 0 0 0 0 0 0 
_1.ptx 113 : 168070 1724866 0 0 0 0 0 0 0 
_1.ptx 114 : 168070 1854173 0 0 0 0 0 0 0 
_1.ptx 115 : 168070 71175690 4386816 0 0 39900 39900 0 0 
_1.ptx 116 : 168070 1687104 0 0 0 0 0 0 0 
_1.ptx 117 : 168070 1693401 0 0 0 0 0 0 0 
_1.ptx 118 : 168070 1852994 0 0 0 0 0 0 0 
_1.ptx 119 : 168070 19512953 5384992 0 0 167768 39900 0 0 
_1.ptx 121 : 168070 1013494 0 0 0 0 0 0 0 
_1.ptx 122 : 168070 1855780 0 0 0 0 0 0 0 
_1.ptx 123 : 168070 18823684 5368576 0 0 167768 39900 0 0 
_1.ptx 125 : 168070 1012220 0 0 0 0 0 0 0 
_1.ptx 126 : 168070 12903855 0 0 0 0 0 0 0 
_1.ptx 127 : 168070 12154786 1276800 0 0 39900 39900 0 0 
_1.ptx 128 : 168070 63053775 330240 0 0 62508 39900 0 0 
_1.ptx 129 : 168070 47859102 256 0 0 62508 39900 0 0 
_1.ptx 130 : 168070 1853381 0 0 0 0 0 0 0 
_1.ptx 133 : 409219 4112912 0 0 0 0 0 0 0 
_1.ptx 134 : 409219 4112002 0 0 0 0 0 0 0 
_1.ptx 135 : 409219 3287424 0 0 0 0 0 0 0 
_1.ptx 136 : 409219 2054722 0 0 0 0 0 0 17904 
_1.ptx 140 : 589824 3693440 0 0 0 0 0 0 0 
_1.ptx 65 : 589824 3755968 0 0 0 0 0 0 0 
_1.ptx 66 : 589824 9876160 0 0 0 0 0 0 0 
_1.ptx 67 : 589824 4627744 0 0 0 0 0 0 0 
_1.ptx 68 : 589824 6993824 0 0 0 0 0 0 0 
_1.ptx 69 : 589824 8394464 256 0 0 0 0 0 0 
_1.ptx 70 : 589824 4930976 0 0 0 0 0 0 0 
_1.ptx 71 : 589824 0 0 0 0 0 0 0 0 
_1.ptx 72 : 589824 4473664 0 0 0 0 0 0 0 
_1.ptx 73 : 589824 4056256 0 0 0 0 0 0 0 
_1.ptx 74 : 589824 6574656 0 0 0 0 0 0 0 
_1.ptx 75 : 589824 143999360 472320 0 0 18432 18432 0 0 
_1.ptx 76 : 589824 3671648 0 0 0 0 0 0 0 
_1.ptx 77 : 589824 4878464 0 0 0 0 0 0 0 
_1.ptx 78 : 589824 3434055 0 0 0 0 0 0 6361 
_1.ptx 80 : 67843 426878 0 0 0 0 0 0 0 
_1.ptx 81 : 67843 1890987 203552 0 0 6361 6361 0 0 
_1.ptx 83 : 67843 1755606 0 0 0 0 0 0 0 
_1.ptx 84 : 67843 421043 0 0 0 0 0 0 0 
_1.ptx 85 : 67843 753695 0 0 0 0 0 0 0 
_1.ptx 86 : 67843 2715477 203552 0 0 6361 6361 0 0 
_1.ptx 88 : 67843 2960577 0 0 0 0 0 0 0 
_1.ptx 89 : 67843 726915 0 0 0 0 0 0 0 
_1.ptx 90 : 67843 751648 0 0 0 0 0 0 0 
_1.ptx 91 : 67843 36326903 1597440 0 0 11202 6361 0 0 
_1.ptx 92 : 67843 478818 0 0 0 0 0 0 0 
_1.ptx 93 : 67843 14206623 6912 0 0 11202 6361 0 0 
_1.ptx 94 : 67843 750769 0 0 0 0 0 0 0 
_1.ptx 95 : 67843 547879 0 0 0 0 0 0 0 
_1.ptx 96 : 67843 0 0 0 0 0 0 0 0 
