kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 24576 148576 0 0 0 0 0 0 0 
_1.ptx 200 : 24576 100416 0 0 0 0 0 0 0 
_1.ptx 202 : 8192 75968 0 512 256 0 0 0 0 
_1.ptx 203 : 8192 83424 0 512 256 0 0 0 0 
_1.ptx 204 : 8192 91104 0 0 0 0 0 0 0 
_1.ptx 205 : 8192 50688 0 512 256 0 0 0 0 
_1.ptx 207 : 24576 147776 0 0 0 0 0 0 0 
_1.ptx 208 : 24576 149888 0 0 0 0 0 0 0 
_1.ptx 209 : 24576 199328 0 0 0 0 0 0 0 
_1.ptx 210 : 24576 123952 0 0 0 0 0 0 256 
_1.ptx 212 : 4096 33200 0 256 256 0 0 0 0 
_1.ptx 213 : 4096 33760 0 256 256 0 0 0 0 
_1.ptx 214 : 4096 45168 0 0 0 0 0 0 0 
_1.ptx 215 : 4096 20976 0 256 256 0 0 0 0 
_1.ptx 217 : 24576 148320 0 0 0 0 0 0 0 
_1.ptx 218 : 24576 150016 0 0 0 0 0 0 0 
_1.ptx 219 : 24576 199200 0 0 0 0 0 0 0 
_1.ptx 220 : 24576 136192 0 0 0 0 0 0 256 
_1.ptx 222 : 2048 16616 0 256 256 0 0 0 0 
_1.ptx 223 : 2048 16808 0 256 256 0 0 0 0 
_1.ptx 224 : 2048 22688 0 0 0 0 0 0 0 
_1.ptx 225 : 2048 10392 0 256 256 0 0 0 0 
_1.ptx 227 : 24576 149280 0 0 0 0 0 0 0 
_1.ptx 228 : 24576 151040 0 0 0 0 0 0 0 
_1.ptx 229 : 24576 199424 0 0 0 0 0 0 0 
_1.ptx 230 : 24576 142100 0 0 0 0 0 0 256 
_1.ptx 232 : 1024 8336 0 256 256 0 0 0 0 
_1.ptx 233 : 1024 8376 0 256 256 0 0 0 0 
_1.ptx 234 : 1024 11352 0 0 0 0 0 0 0 
_1.ptx 235 : 1024 5200 0 256 256 0 0 0 0 
_1.ptx 237 : 24576 148480 0 0 0 0 0 0 0 
_1.ptx 238 : 24576 150624 0 0 0 0 0 0 0 
_1.ptx 239 : 24576 200576 0 0 0 0 0 0 0 
_1.ptx 240 : 24576 145456 0 0 0 0 0 0 256 
_1.ptx 242 : 512 4184 0 256 256 0 0 0 0 
_1.ptx 243 : 512 4180 0 256 256 0 0 0 0 
_1.ptx 244 : 512 5662 0 0 0 0 0 0 0 
_1.ptx 245 : 512 2618 0 256 256 0 0 0 0 
_1.ptx 247 : 24576 148800 0 0 0 0 0 0 0 
_1.ptx 248 : 24576 150240 0 0 0 0 0 0 0 
_1.ptx 249 : 24576 199488 0 0 0 0 0 0 0 
_1.ptx 250 : 24576 147445 0 0 0 0 0 0 256 
_1.ptx 252 : 256 2074 0 256 256 0 0 0 0 
_1.ptx 253 : 256 2091 0 256 256 0 0 0 0 
_1.ptx 254 : 256 2841 0 0 0 0 0 0 0 
_1.ptx 255 : 256 1302 0 256 256 0 0 0 0 
_1.ptx 257 : 24576 148224 0 0 0 0 0 0 0 
_1.ptx 258 : 24576 149376 0 0 0 0 0 0 0 
_1.ptx 259 : 24576 197984 0 0 0 0 0 0 0 
_1.ptx 260 : 24576 146713 0 0 0 0 0 0 256 
_1.ptx 262 : 256 1796 0 256 256 0 0 0 0 
_1.ptx 263 : 256 779 0 0 0 0 0 0 0 
_1.ptx 264 : 256 2597 0 0 0 0 0 0 0 
_1.ptx 265 : 256 2824 0 0 0 0 0 0 0 
_1.ptx 266 : 256 1287 8192 0 0 256 256 0 0 
_1.ptx 68 : 24576 150624 0 0 0 0 0 0 0 
_1.ptx 69 : 24576 152992 0 0 0 0 0 0 0 
_1.ptx 269 : 24576 147936 0 0 0 0 0 0 0 
_1.ptx 70 : 24576 313184 0 0 0 0 0 0 0 
_1.ptx 71 : 24576 152960 0 0 0 0 0 0 0 
_1.ptx 72 : 24576 323648 0 0 0 0 0 0 0 
_1.ptx 73 : 24576 280992 0 0 0 0 0 0 0 
_1.ptx 74 : 24576 164000 0 0 0 0 0 0 0 
_1.ptx 75 : 24576 276224 0 0 0 0 0 0 0 
_1.ptx 76 : 24576 1175552 256 0 0 0 0 0 0 
_1.ptx 77 : 24576 205120 0 0 0 0 0 0 0 
_1.ptx 78 : 24576 154210 0 0 0 0 0 0 1 
_1.ptx 80 : 21 126 0 0 0 0 0 0 0 
_1.ptx 81 : 21 126 0 0 0 0 0 0 0 
_1.ptx 82 : 21 126 0 0 0 0 0 0 0 
_1.ptx 83 : 21 126 0 0 0 0 0 0 0 
_1.ptx 84 : 21 210 0 0 0 0 0 0 0 
_1.ptx 85 : 21 210 0 0 0 0 0 0 0 
_1.ptx 86 : 21 63 0 0 0 0 0 0 0 
_1.ptx 87 : 21 231 0 0 0 0 0 0 0 
_1.ptx 88 : 21 7056 256 0 0 1 1 0 0 
_1.ptx 89 : 21 231 0 0 0 0 0 0 0 
_1.ptx 90 : 21 147 0 3 1 0 0 0 0 
_1.ptx 92 : 21 126 0 0 0 0 0 0 0 
_1.ptx 93 : 21 231 0 0 0 0 0 0 0 
_1.ptx 94 : 21 5502 256 0 0 1 1 0 0 
_1.ptx 95 : 21 231 0 0 0 0 0 0 0 
_1.ptx 96 : 21 147 0 3 1 0 0 0 0 
_1.ptx 98 : 21 63 0 0 0 0 0 0 0 
_1.ptx 99 : 21 252 0 0 0 0 0 0 0 
_1.ptx 100 : 21 5502 256 0 0 1 1 0 0 
_1.ptx 101 : 21 231 0 0 0 0 0 0 0 
_1.ptx 102 : 21 147 0 3 1 0 0 0 0 
_1.ptx 104 : 21 168 0 0 0 0 0 0 0 
_1.ptx 105 : 21 168 0 0 0 0 0 0 0 
_1.ptx 106 : 21 231 0 0 0 0 0 0 0 
_1.ptx 107 : 21 168 0 3 1 0 0 0 0 
_1.ptx 108 : 21 63 0 0 0 0 0 0 0 
_1.ptx 109 : 21 147 0 0 0 0 0 0 0 
_1.ptx 110 : 21 210 0 0 0 0 0 0 0 
_1.ptx 111 : 21 210 0 0 0 0 0 0 0 
_1.ptx 112 : 21 126 0 0 0 0 0 0 0 
_1.ptx 113 : 21 126 0 0 0 0 0 0 0 
_1.ptx 116 : 1935 21285 0 0 0 0 0 0 0 
_1.ptx 117 : 1935 19392 0 0 0 0 0 0 0 
_1.ptx 118 : 1935 21348 0 0 0 0 0 0 0 
_1.ptx 119 : 1935 21465 0 439 123 0 0 0 0 
_1.ptx 120 : 1935 15480 0 0 0 0 0 0 0 
_1.ptx 121 : 1935 15480 0 0 0 0 0 0 0 
_1.ptx 122 : 1935 6029 0 0 0 0 0 0 114 
_1.ptx 124 : 932 9328 0 0 0 0 0 0 0 
_1.ptx 125 : 932 5592 0 0 0 0 0 0 0 
_1.ptx 128 : 1003 10043 0 0 0 0 0 0 0 
_1.ptx 129 : 1003 7021 0 0 0 0 0 0 0 
_1.ptx 130 : 1003 8024 0 0 0 0 0 0 0 
_1.ptx 132 : 1003 8040 0 0 0 0 0 0 0 
_1.ptx 133 : 1003 6837 0 281 117 0 0 0 0 
_1.ptx 134 : 1003 8024 0 0 0 0 0 0 0 
_1.ptx 135 : 1003 6018 0 0 0 0 0 0 0 
_1.ptx 136 : 1003 8024 0 0 0 0 0 0 0 
_1.ptx 137 : 1003 0 0 0 0 0 0 0 0 
_1.ptx 138 : 1003 10043 0 0 0 0 0 0 0 
_1.ptx 139 : 1003 3009 0 0 0 0 0 0 0 
_1.ptx 140 : 1003 8024 0 0 0 0 0 0 0 
_1.ptx 141 : 1003 5753 0 0 0 0 0 0 32 
_1.ptx 143 : 46 460 0 0 0 0 0 0 0 
_1.ptx 145 : 46 460 0 0 0 0 0 0 0 
_1.ptx 146 : 46 276 0 0 0 0 0 0 0 
_1.ptx 149 : 957 10527 0 0 0 0 0 0 0 
_1.ptx 150 : 957 9310 0 271 117 0 0 0 0 
_1.ptx 151 : 957 7656 0 0 0 0 0 0 0 
_1.ptx 152 : 957 6415 0 271 117 0 0 0 0 
_1.ptx 154 : 957 10543 0 0 0 0 0 0 0 
_1.ptx 155 : 957 9297 0 271 117 0 0 0 0 
_1.ptx 156 : 957 7656 0 0 0 0 0 0 0 
_1.ptx 157 : 957 6699 0 0 0 0 0 0 0 
_1.ptx 158 : 957 6415 0 271 117 0 0 0 0 
_1.ptx 160 : 957 10527 0 0 0 0 0 0 0 
_1.ptx 161 : 957 9308 0 271 117 0 0 0 0 
_1.ptx 162 : 957 7685 0 0 0 0 0 0 0 
_1.ptx 163 : 957 6717 0 0 0 0 0 0 0 
_1.ptx 164 : 957 6437 0 271 117 0 0 0 0 
_1.ptx 166 : 957 7667 0 0 0 0 0 0 0 
_1.ptx 167 : 957 7656 0 0 0 0 0 0 0 
_1.ptx 168 : 957 6415 0 271 117 0 0 0 0 
_1.ptx 170 : 957 6699 0 0 0 0 0 0 0 
_1.ptx 171 : 957 5753 0 0 0 0 0 0 0 
_1.ptx 177 : 1935 11610 0 0 0 0 0 0 0 
_1.ptx 178 : 1935 15501 0 0 0 0 0 0 0 
_1.ptx 179 : 1935 11484 0 0 0 0 0 0 12 
_1.ptx 181 : 21 126 0 2 1 0 0 0 0 
_1.ptx 182 : 21 126 0 0 0 0 0 0 0 
_1.ptx 185 : 24555 151234 0 0 0 0 0 0 0 
_1.ptx 186 : 24555 166519 0 1535 768 0 0 0 0 
_1.ptx 189 : 24576 150624 0 0 0 0 0 0 0 
_1.ptx 190 : 24576 151744 0 0 0 0 0 0 0 
_1.ptx 191 : 24576 199648 0 0 0 0 0 0 0 
_1.ptx 192 : 24576 99840 0 0 0 0 0 0 0 
_1.ptx 194 : 8192 76960 0 512 256 0 0 0 0 
_1.ptx 195 : 8192 83680 0 512 256 0 0 0 0 
_1.ptx 196 : 8192 90656 0 0 0 0 0 0 0 
_1.ptx 197 : 8192 51968 0 512 256 0 0 0 0 
