kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 24576 148640 0 0 0 0 0 0 0 
_1.ptx 200 : 24576 100576 0 0 0 0 0 0 0 
_1.ptx 202 : 8192 75936 0 512 256 0 0 0 0 
_1.ptx 203 : 8192 83520 0 512 256 0 0 0 0 
_1.ptx 204 : 8192 91328 0 0 0 0 0 0 0 
_1.ptx 205 : 8192 50592 0 512 256 0 0 0 0 
_1.ptx 207 : 24576 148096 0 0 0 0 0 0 0 
_1.ptx 208 : 24576 149856 0 0 0 0 0 0 0 
_1.ptx 209 : 24576 199680 0 0 0 0 0 0 0 
_1.ptx 210 : 24576 123840 0 0 0 0 0 0 256 
_1.ptx 212 : 4096 33216 0 256 256 0 0 0 0 
_1.ptx 213 : 4096 33584 0 256 256 0 0 0 0 
_1.ptx 214 : 4096 45232 0 0 0 0 0 0 0 
_1.ptx 215 : 4096 20992 0 256 256 0 0 0 0 
_1.ptx 217 : 24576 148320 0 0 0 0 0 0 0 
_1.ptx 218 : 24576 150144 0 0 0 0 0 0 0 
_1.ptx 219 : 24576 199296 0 0 0 0 0 0 0 
_1.ptx 220 : 24576 136304 0 0 0 0 0 0 256 
_1.ptx 222 : 2048 16640 0 256 256 0 0 0 0 
_1.ptx 223 : 2048 16792 0 256 256 0 0 0 0 
_1.ptx 224 : 2048 22656 0 0 0 0 0 0 0 
_1.ptx 225 : 2048 10416 0 256 256 0 0 0 0 
_1.ptx 227 : 24576 149440 0 0 0 0 0 0 0 
_1.ptx 228 : 24576 151040 0 0 0 0 0 0 0 
_1.ptx 229 : 24576 199424 0 0 0 0 0 0 0 
_1.ptx 230 : 24576 142160 0 0 0 0 0 0 256 
_1.ptx 232 : 1024 8336 0 256 256 0 0 0 0 
_1.ptx 233 : 1024 8372 0 256 256 0 0 0 0 
_1.ptx 234 : 1024 11348 0 0 0 0 0 0 0 
_1.ptx 235 : 1024 5184 0 256 256 0 0 0 0 
_1.ptx 237 : 24576 148480 0 0 0 0 0 0 0 
_1.ptx 238 : 24576 150272 0 0 0 0 0 0 0 
_1.ptx 239 : 24576 200576 0 0 0 0 0 0 0 
_1.ptx 240 : 24576 145428 0 0 0 0 0 0 256 
_1.ptx 242 : 512 4160 0 256 256 0 0 0 0 
_1.ptx 243 : 512 4158 0 256 256 0 0 0 0 
_1.ptx 244 : 512 5660 0 0 0 0 0 0 0 
_1.ptx 245 : 512 2612 0 256 256 0 0 0 0 
_1.ptx 247 : 24576 148960 0 0 0 0 0 0 0 
_1.ptx 248 : 24576 150720 0 0 0 0 0 0 0 
_1.ptx 249 : 24576 199072 0 0 0 0 0 0 0 
_1.ptx 250 : 24576 147509 0 0 0 0 0 0 256 
_1.ptx 252 : 256 2067 0 256 256 0 0 0 0 
_1.ptx 253 : 256 2068 0 256 256 0 0 0 0 
_1.ptx 254 : 256 2836 0 0 0 0 0 0 0 
_1.ptx 255 : 256 1298 0 256 256 0 0 0 0 
_1.ptx 257 : 24576 148288 0 0 0 0 0 0 0 
_1.ptx 258 : 24576 149344 0 0 0 0 0 0 0 
_1.ptx 259 : 24576 198304 0 0 0 0 0 0 0 
_1.ptx 260 : 24576 146616 0 0 0 0 0 0 256 
_1.ptx 262 : 256 1794 0 256 256 0 0 0 0 
_1.ptx 263 : 256 775 0 0 0 0 0 0 0 
_1.ptx 264 : 256 2594 0 0 0 0 0 0 0 
_1.ptx 265 : 256 2824 0 0 0 0 0 0 0 
_1.ptx 266 : 256 1287 8192 0 0 256 256 0 0 
_1.ptx 68 : 24576 150432 0 0 0 0 0 0 0 
_1.ptx 69 : 24576 152928 0 0 0 0 0 0 0 
_1.ptx 269 : 24576 147872 0 0 0 0 0 0 0 
_1.ptx 70 : 24576 313088 0 0 0 0 0 0 0 
_1.ptx 71 : 24576 153408 0 0 0 0 0 0 0 
_1.ptx 72 : 24576 327712 0 0 0 0 0 0 0 
_1.ptx 73 : 24576 280576 0 0 0 0 0 0 0 
_1.ptx 74 : 24576 163168 0 0 0 0 0 0 0 
_1.ptx 75 : 24576 276448 0 0 0 0 0 0 0 
_1.ptx 76 : 24576 1174848 256 0 0 0 0 0 0 
_1.ptx 77 : 24576 204736 0 0 0 0 0 0 0 
_1.ptx 78 : 24576 154414 0 0 0 0 0 0 1 
_1.ptx 80 : 3 18 0 0 0 0 0 0 0 
_1.ptx 81 : 3 18 0 0 0 0 0 0 0 
_1.ptx 82 : 3 18 0 0 0 0 0 0 0 
_1.ptx 83 : 3 18 0 0 0 0 0 0 0 
_1.ptx 84 : 3 30 0 0 0 0 0 0 0 
_1.ptx 85 : 3 30 0 0 0 0 0 0 0 
_1.ptx 86 : 3 9 0 0 0 0 0 0 0 
_1.ptx 87 : 3 33 0 0 0 0 0 0 0 
_1.ptx 88 : 3 1008 256 0 0 1 1 0 0 
_1.ptx 89 : 3 33 0 0 0 0 0 0 0 
_1.ptx 90 : 3 15 0 1 1 0 0 0 0 
_1.ptx 92 : 3 12 0 0 0 0 0 0 0 
_1.ptx 93 : 3 33 0 0 0 0 0 0 0 
_1.ptx 94 : 3 786 256 0 0 1 1 0 0 
_1.ptx 95 : 3 33 0 0 0 0 0 0 0 
_1.ptx 96 : 3 15 0 1 1 0 0 0 0 
_1.ptx 98 : 3 9 0 0 0 0 0 0 0 
_1.ptx 99 : 3 33 0 0 0 0 0 0 0 
_1.ptx 100 : 3 786 256 0 0 1 1 0 0 
_1.ptx 101 : 3 33 0 0 0 0 0 0 0 
_1.ptx 102 : 3 15 0 1 1 0 0 0 0 
_1.ptx 104 : 3 27 0 0 0 0 0 0 0 
_1.ptx 105 : 3 24 0 0 0 0 0 0 0 
_1.ptx 106 : 3 33 0 0 0 0 0 0 0 
_1.ptx 107 : 3 18 0 1 1 0 0 0 0 
_1.ptx 108 : 3 9 0 0 0 0 0 0 0 
_1.ptx 109 : 3 21 0 0 0 0 0 0 0 
_1.ptx 110 : 3 30 0 0 0 0 0 0 0 
_1.ptx 111 : 3 30 0 0 0 0 0 0 0 
_1.ptx 112 : 3 18 0 0 0 0 0 0 0 
_1.ptx 113 : 3 21 0 0 0 0 0 0 0 
_1.ptx 116 : 7 77 0 0 0 0 0 0 0 
_1.ptx 117 : 7 70 0 0 0 0 0 0 0 
_1.ptx 118 : 7 77 0 0 0 0 0 0 0 
_1.ptx 119 : 7 56 0 3 3 0 0 0 0 
_1.ptx 120 : 7 56 0 0 0 0 0 0 0 
_1.ptx 121 : 7 56 0 0 0 0 0 0 0 
_1.ptx 122 : 7 18 0 0 0 0 0 0 2 
_1.ptx 124 : 4 40 0 0 0 0 0 0 0 
_1.ptx 125 : 4 24 0 0 0 0 0 0 0 
_1.ptx 128 : 3 30 0 0 0 0 0 0 0 
_1.ptx 129 : 3 21 0 0 0 0 0 0 0 
_1.ptx 130 : 3 24 0 0 0 0 0 0 0 
_1.ptx 132 : 3 24 0 0 0 0 0 0 0 
_1.ptx 133 : 3 15 0 2 2 0 0 0 0 
_1.ptx 134 : 3 24 0 0 0 0 0 0 0 
_1.ptx 135 : 3 18 0 0 0 0 0 0 0 
_1.ptx 136 : 3 24 0 0 0 0 0 0 0 
_1.ptx 137 : 3 0 0 0 0 0 0 0 0 
_1.ptx 138 : 3 30 0 0 0 0 0 0 0 
_1.ptx 139 : 3 9 0 0 0 0 0 0 0 
_1.ptx 140 : 3 24 0 0 0 0 0 0 0 
_1.ptx 141 : 3 12 0 0 0 0 0 0 0 
_1.ptx 143 : 1 10 0 0 0 0 0 0 0 
_1.ptx 145 : 1 10 0 0 0 0 0 0 0 
_1.ptx 146 : 1 6 0 0 0 0 0 0 0 
_1.ptx 149 : 2 22 0 0 0 0 0 0 0 
_1.ptx 150 : 2 16 0 1 1 0 0 0 0 
_1.ptx 151 : 2 16 0 0 0 0 0 0 0 
_1.ptx 152 : 2 10 0 1 1 0 0 0 0 
_1.ptx 154 : 2 22 0 0 0 0 0 0 0 
_1.ptx 155 : 2 16 0 1 1 0 0 0 0 
_1.ptx 156 : 2 16 0 0 0 0 0 0 0 
_1.ptx 157 : 2 14 0 0 0 0 0 0 0 
_1.ptx 158 : 2 10 0 1 1 0 0 0 0 
_1.ptx 160 : 2 22 0 0 0 0 0 0 0 
_1.ptx 161 : 2 16 0 1 1 0 0 0 0 
_1.ptx 162 : 2 16 0 0 0 0 0 0 0 
_1.ptx 163 : 2 14 0 0 0 0 0 0 0 
_1.ptx 164 : 2 10 0 1 1 0 0 0 0 
_1.ptx 166 : 2 16 0 0 0 0 0 0 0 
_1.ptx 167 : 2 16 0 0 0 0 0 0 0 
_1.ptx 168 : 2 10 0 1 1 0 0 0 0 
_1.ptx 170 : 2 14 0 0 0 0 0 0 0 
_1.ptx 171 : 2 12 0 0 0 0 0 0 0 
_1.ptx 177 : 7 42 0 0 0 0 0 0 0 
_1.ptx 178 : 7 56 0 0 0 0 0 0 0 
_1.ptx 179 : 7 24 0 0 0 0 0 0 1 
_1.ptx 181 : 3 15 0 1 1 0 0 0 0 
_1.ptx 182 : 3 18 0 0 0 0 0 0 0 
_1.ptx 185 : 24573 151502 0 0 0 0 0 0 0 
_1.ptx 186 : 24573 166190 0 1536 768 0 0 0 0 
_1.ptx 189 : 24576 150112 0 0 0 0 0 0 0 
_1.ptx 190 : 24576 151168 0 0 0 0 0 0 0 
_1.ptx 191 : 24576 199712 0 0 0 0 0 0 0 
_1.ptx 192 : 24576 99328 0 0 0 0 0 0 0 
_1.ptx 194 : 8192 76768 0 512 256 0 0 0 0 
_1.ptx 195 : 8192 83616 0 512 256 0 0 0 0 
_1.ptx 196 : 8192 90624 0 0 0 0 0 0 0 
_1.ptx 197 : 8192 52032 0 512 256 0 0 0 0 
